Fair State Brewing Cooperative,Holy Land,Middle Eastern,http://holylandbrand.com/deli/,FALSE,null,null,El Taco Riendo,Tacos,http://www.eltaco-riendo.com/index.php/products-menu,FALSE,null,null,Parkway Pizza,Pizza,https://www.opendining.net/menu/56be296b515ee98d547b23c7#,TRUE,null,null,Market BBQ,BBQ,http://marketbbq.com,TRUE,null,null
LynLake Brewery,Taco Cat,Tacos,https://tacocatmn.com/menu/,TRUE,null,null,Galatic Pizza,Pizza,http://galacticpizza.com/,TRUE,null,null,World Street Kitchen,Asian Fusion,http://www.eatwsk.com/menu/,TRUE,null,null,Amazing Thailand,Thai,http://www.amazingthailandusa.com/,TRUE,null,null
Eastlake Craft Brewery,Taco Cat,Tacos,http://www.tacocatmn.com/,TRUE,null,null,Manny's Tortas,Mexican,http://mannystortas.com/,TRUE,null,null,Moroccan Flavors,Moroccan,http://moroccanflavorsmpls.com/#restaurant-section,TRUE,null,null,Hot Indian,Indian,https://www.hotindianfoods.com/,TRUE,null,null
Venn Brewing Company,Gandhi Mahal,Indian,http://gandhimahal.com/index.php,TRUE,null,null,Los Ocampo,Mexicna,https://www.losocampo.com/welcome.html,TRUE,null,null,Himalayan Restaurant,Tibetan ,http://www.himalayanmomo.com/,FALSE,null,null,null,null,null,FALSE,null,null
Modist Brewing Company,Crip & Green,Vegetarian,https://crispandgreen.com/,TRUE,null,null,Red Rabbit,Italian,https://www.redrabbitmn.com/,FALSE,null,null,Darby's Pub and Grill,American,https://www.darbysmpls.com/,TRUE,null,null,null,null,null,FALSE,null,null
Bauhaus Brew Labs,Maya Cuisine,Mexican,https://www.facebook.com/MayaCuisine/,FALSE,null,null,Frank and Andrea,Pizza and Hoagies,https://frankandandrea.com/,FALSE,null,null,Que Viet,Chinese-Vietnamese,http://places.singleplatform.com/que-viet-village-house/menu,TRUE,null,null,null,null,null,FALSE,null,null
Surly Brewing Company,Beer Hall,American,https://surlybrewing.com/destination-brewery/,TRUE,null,null,Pizza Upstairs,Pizza,https://surlybrewing.com/destination-brewery/,FALSE,null,null,null,null,null,FALSE,null,null,null,null,null,FALSE,null,null
Excelsior Brewing,Miyabi Sushi,Asian/Sushi,http://miyabimn.com/menu-2/,FALSE,null,null,Olive's Fresh Pizza bar,Pizza,https://www.olivesfreshexcelsior.com/,FALSE,null,null,null,null,null,FALSE,null,null,null,null,null,FALSE,null,null
Day Block Brewing,Restaurant,Pizza,https://www.dayblockbrewing.com/eats/lunch-and-dinner,TRUE,null,null,null,null,null,FALSE,null,null,null,null,null,FALSE,null,null,null,null,null,FALSE,null,null
Fulton Beer,Taproom Kitchen,American,http://www.fultonbeer.com/tap-room,TRUE,null,null,null,null,null,FALSE,null,null,null,null,null,FALSE,null,null,null,null,null,FALSE,null,null
